country,quarter,Investment,Consumption,GDP,TradeBalance,inflation,unemployment,WorkingAgePop,DependencyRatio,year,q,GDP_lag1
Australia,1966-07-01,18810.0,68408.0,106235.0,4575.0,2.380952,1.8,7268875.5,60.9535177863125,1966,3,
Australia,1966-10-01,18789.0,69397.0,106934.0,4342.0,2.352941,1.7,7306552.25,60.8056674824717,1966,4,106235.0
Australia,1967-01-01,19096.0,70536.0,111116.0,4569.0,2.325581,1.8,7344229.0,60.657817178631,1967,1,106934.0
Australia,1967-04-01,19334.0,70693.0,110959.0,5635.0,3.488372,2.0,7385223.5,60.4783919328527,1967,2,111116.0
Australia,1967-07-01,19915.0,72078.0,113040.0,5089.0,4.651163,1.9,7426218.0,60.2989666870744,1967,3,110959.0
Australia,1967-10-01,20009.0,73039.0,114020.0,5506.0,3.448276,1.8,7467212.5,60.1195414412961,1967,4,113040.0
Australia,1968-01-01,20692.0,75132.0,113001.0,3303.0,3.409091,1.9,7508207.0,59.9401161955178,1968,1,114020.0
Australia,1968-04-01,21019.0,74808.0,117352.0,4665.0,2.247191,1.9,7553595.25,59.823086928166,1968,2,113001.0
Australia,1968-07-01,21199.0,75474.0,118899.0,4622.0,2.222222,1.8,7598983.5,59.7060576608142,1968,3,117352.0
Australia,1968-10-01,21726.0,76734.0,123337.0,6289.0,2.222222,1.7,7644371.75,59.5890283934624,1968,4,118899.0
Australia,1969-01-01,21649.0,78132.0,122488.0,4518.0,3.296703,1.8,7689760.0,59.4719991261106,1969,1,123337.0
Australia,1969-04-01,22279.0,79205.0,124915.0,5325.0,3.296703,1.8,7731813.75,59.3958954755836,1969,2,122488.0
Australia,1969-07-01,22164.0,80906.0,126980.0,6613.0,3.26087,1.7,7773867.5,59.3197918250566,1969,3,124915.0
Australia,1969-10-01,22542.0,82330.0,129914.0,6941.0,3.26087,1.9,7815921.25,59.2436881745297,1969,4,126980.0
Australia,1970-01-01,22247.0,82418.0,132600.0,6677.0,2.12766,1.6,7857975.0,59.1675845240027,1970,1,129914.0
Australia,1970-04-01,22749.0,83695.0,135281.0,6603.0,3.191489,1.7,7950885.0,59.0715459756471,1970,2,132600.0
Australia,1970-07-01,22530.0,84978.0,134997.0,7522.0,3.157895,1.7,8043795.0,58.9755074272916,1970,3,135281.0
Australia,1970-10-01,22942.0,85962.0,135629.0,8174.0,5.263158,1.6,8136705.0,58.879468878936,1970,4,134997.0
Australia,1971-01-01,23670.0,85866.0,137274.0,7384.0,5.208333,1.7,8229615.0,58.7834303305805,1971,1,135629.0
Australia,1971-04-01,23449.0,86181.0,137869.0,8712.0,5.154639,1.9,8270368.25,58.716590023573,1971,2,137274.0
Australia,1971-07-01,24414.0,88746.0,142180.0,8766.0,7.142857,1.9,8311121.5,58.6497497165655,1971,3,137869.0
Australia,1971-10-01,23640.0,88201.0,141731.0,10164.0,7.0,2.2,8351874.75,58.582909409558,1971,4,142180.0
Australia,1972-01-01,23475.0,89049.0,140039.0,10246.0,6.930693,2.4,8392628.0,58.5160691025505,1972,1,141731.0
Australia,1972-04-01,23662.0,89824.0,143159.0,10702.0,6.862745,2.4,8430243.5,58.4059437032714,1972,2,140039.0
Australia,1972-07-01,24094.0,90763.0,142435.0,10365.0,5.714286,2.9,8467859.0,58.2958183039923,1972,3,143159.0
Australia,1972-10-01,24269.0,91590.0,143927.0,11640.0,4.672897,2.8,8505474.5,58.1856929047133,1972,4,142435.0
Australia,1973-01-01,24818.0,94009.0,147662.0,10229.0,5.555555,2.6,8543090.0,58.0755675054342,1973,1,143927.0
Australia,1973-04-01,24922.0,95050.0,147942.0,8703.0,8.256881,2.3,8586605.75,57.9117580739978,1973,2,147662.0
Australia,1973-07-01,25329.0,96234.0,149420.0,7792.0,9.90991,2.1,8630121.5,57.7479486425613,1973,3,147942.0
Australia,1973-10-01,26140.0,96646.0,153157.0,8081.0,12.5,2.1,8673637.25,57.5841392111248,1973,4,149420.0
Australia,1974-01-01,26196.0,99306.0,153200.0,5035.0,14.03509,2.1,8717153.0,57.4203297796884,1974,1,153157.0
Australia,1974-04-01,24624.0,99625.0,150090.0,5047.0,14.40678,2.1,8753315.5,57.2587246666366,1974,2,153200.0
Australia,1974-07-01,23950.0,102072.0,151870.0,5655.0,16.39344,2.7,8789478.0,57.0971195535847,1974,3,150090.0
Australia,1974-10-01,23711.0,102123.0,152031.0,7333.0,16.66667,4.0,8825640.5,56.9355144405329,1974,4,151870.0
Australia,1975-01-01,23893.0,104327.0,152613.0,8776.0,17.69231,4.8,8861803.0,56.7739093274811,1975,1,152031.0
Australia,1975-04-01,24180.0,105620.0,157446.0,9961.0,17.03704,4.8,8894642.5,56.5908616988042,1975,2,152613.0
Australia,1975-07-01,24473.0,105997.0,155699.0,9324.0,11.97183,4.7,8927482.0,56.4078140701272,1975,3,157446.0
Australia,1975-10-01,24287.0,104147.0,153357.0,9242.0,14.28571,5.4,8960321.5,56.2247664414503,1975,4,155699.0
Australia,1976-01-01,24803.0,106534.0,160162.0,8951.0,13.0719,4.9,8993161.0,56.0417188127734,1976,1,153357.0
Australia,1976-04-01,25458.0,107789.0,160635.0,9497.0,12.02532,4.5,9030122.25,55.8460377269642,1976,2,160162.0
Australia,1976-07-01,25007.0,109769.0,161939.0,10547.0,13.83648,4.8,9067083.5,55.6503566411549,1976,3,160635.0
Australia,1976-10-01,26266.0,110287.0,163343.0,10114.0,14.28571,4.9,9104044.75,55.4546755553457,1976,4,161939.0
Australia,1977-01-01,25994.0,110897.0,162457.0,8874.0,13.2948,5.2,9141006.0,55.2589944695365,1977,1,163343.0
Australia,1977-04-01,25606.0,111233.0,164758.0,9086.0,13.55932,5.6,9178098.5,55.0885396131111,1977,2,162457.0
Australia,1977-07-01,26417.0,111919.0,164047.0,10119.0,13.25967,5.8,9215191.0,54.9180847566858,1977,3,164758.0
Australia,1977-10-01,26018.0,111945.0,163543.0,11882.0,9.375,5.9,9252283.5,54.7476299002604,1977,4,164047.0
Australia,1978-01-01,26682.0,113214.0,164677.0,10508.0,8.67347,6.6,9289376.0,54.577175043835,1978,1,163543.0
