country,feature_set,winner_model,RMSE,MAE,R2,AdjR2
Australia,Traditional,Linear,7624.189420201843,6978.1329239110155,0.7706246893107922,0.5794785970697858
Australia,Enhanced,Ridge,7068.868820483782,6107.831691506745,0.8028216812316536,0.2770128311827301
Austria,Traditional,Ridge,1620.048383111941,1373.598642770914,0.1399727410806566,-0.5767166413521296
Austria,Enhanced,Ridge,1280.5938831768133,1052.0416086066798,0.4626229775116929,-0.9703824157904595
Belgium,Traditional,Ridge,2098.2139216258897,1947.7449965156738,0.3453757909990318,-0.20014438316844174
Belgium,Enhanced,Linear,608.6800008802023,524.436060067419,0.9449102757153958,0.7980043442897845
Bulgaria,Traditional,Ridge,594.4865057854964,466.4320754096707,0.47169673113151844,0.0314440070744505
Bulgaria,Enhanced,Ridge,410.0554467377878,383.03486437389864,0.7486467727349329,0.07837150002808713
Canada,Traditional,Linear,5717.275512064879,4723.6761445692,0.836857904376594,0.7009061580237557
Canada,Enhanced,Ridge,6348.463421366347,5545.7524642433855,0.7988476837976781,0.2624415072581531
Chile,Traditional,Linear,463084.71721507114,385383.22995417315,0.8089309920490959,0.6497068187566759
Chile,Enhanced,Ridge,580630.0944123478,485978.21658974077,0.6996217829038658,-0.10138679601915879
Colombia,Traditional,Ridge,5744159.635213066,5108868.103610799,0.5487335888838025,0.17267824628697126
Colombia,Enhanced,Linear,2705816.940363381,2310527.959855149,0.8998670916584871,0.632846002747786
Costa Rica,Traditional,Linear,137767.5500379477,100169.91539530053,0.8448957072639791,0.7156421299839617
Costa Rica,Enhanced,Linear,203490.8868281394,170243.2508528602,0.6616081645203715,-0.2407700634253045
Croatia,Traditional,Linear,307.62559670208384,265.6592265479294,0.7865545914557829,0.6086834176689353
Croatia,Enhanced,Ridge,221.21711045095608,183.7605437800527,0.8896228161482737,0.5952836592103368
Czechia,Traditional,RandomForest,29936.935148703516,27475.624444444413,-2.0382551512012093,-4.570134443868883
Czechia,Enhanced,RandomForest,31140.603548016352,28215.763888888934,-2.2874837961247163,-11.054107252457293
Denmark,Traditional,Ridge,10112.33533133909,9169.234852200674,-0.23892624431592946,-1.2713647812458704
Denmark,Enhanced,Ridge,11425.452766550981,10772.584135495408,-0.581573450463615,-4.799102651699922
Estonia,Traditional,RandomForest,247.09743067326283,196.37880555556657,-1.6345798142221213,-3.8300629927405554
Estonia,Enhanced,Linear,172.00411209998745,157.25942228357044,-0.2765932982259889,-3.6808420934952926
Finland,Traditional,Ridge,786.3107253623203,702.0487482144812,-1.8964381859674928,-4.310136674273736
Finland,Enhanced,Ridge,503.58327299577326,391.65228900563307,-0.18800551775716245,-3.356020231776262
France,Traditional,Ridge,5668.7746469576505,4741.5461041178205,0.7320496111006817,0.5087576203512498
France,Enhanced,Linear,6146.774635482506,5307.6515866973305,0.6849564537553037,-0.1551596695638866
Germany,Traditional,Linear,5231.776955623935,4720.2247476318835,-0.23354276338884872,-1.2614950662128894
