"country","quarter","gross_fixed_capital_formation","final_consumption_expenditure","gross_domestic_product","external_balance_of_goods_and_services","inflation","unemployment","working_age_population","dependency_ratio"
"Bulgaria",2024-01-01,5931.1,27027.5,35000.7,1653.6,3.394024,4.633333,3997409.5,61.1398707087678
"Bulgaria",2000-01-01,2291.3,11410.7,16385.7,766.2,8.515882,14.73333,5558469,46.9861035475776
"Korea",2024-01-01,167783800,372416600,573667300,34583100,3.015835,2.8,36327585,42.45666206548
"Hungary",2024-01-01,3335424,10362127,14467449.4,1536122,3.696712,4.3,6207418,54.2630768541767
"Türkiye",2005-01-01,55907.1,170217.3,227416.6,-5355.6,8.621888,9.233334,45188778,51.4433118771214
"Türkiye",2005-04-01,59803.8,172179.3,229338.4,-7625,8.610982,9.6,45390922.75,51.2451117301309
"Türkiye",2005-07-01,62361.4,175565.3,236779.6,-8391.2,7.909032,9.5,45593067.5,51.0469115831404
"Türkiye",2005-10-01,64805.8,182098.6,243818.4,-8699.8,7.616606,9.7,45795212.25,50.84871143615
"Türkiye",2006-01-01,68181.4,181564.2,243271.9,-10095.1,8.080044,9.5,45997357,50.6505112891595
"Türkiye",2006-04-01,69845.2,185835,253196.7,-11076.4,9.606737,9.033334,46192308.75,50.4838019346929
"Türkiye",2006-07-01,71236.2,182342.2,251508.8,-8962,10.83049,8.933333,46387260.5,50.3170925802264
"Türkiye",2006-10-01,71449.1,183892.2,257347,-5794.1,9.829153,8.766666,46582212.25,50.1503832257598
"Türkiye",2007-01-01,71056.7,189280.6,260218,-7924.7,10.31782,8.9,46777164,49.9836738712933
"Türkiye",2007-04-01,73102,192736.7,259812.2,-8503,9.506886,9.2,46930222.25,49.9706595433981
"Türkiye",2007-07-01,74777,193419.6,262512.2,-14280.8,7.139191,9.2,47083280.5,49.957645215503
"Türkiye",2007-10-01,78468.9,198256,273986.9,-14357.4,8.164232,9.4,47236338.75,49.9446308876079
"Türkiye",2008-01-01,78543.3,199078.9,277052.8,-9682.1,8.81126,9.4,47389397,49.9316165597127
"Türkiye",2008-04-01,73242.6,193525.7,267229.3,-7979.3,10.33767,9.333333,47598755.75,49.7926618419651
"Türkiye",2008-07-01,70892.2,195088.9,263584.4,-7995.7,11.6503,9.966666,47808114.5,49.6537071242175
"Türkiye",2008-10-01,66266.1,191684.2,259258.8,-1687.8,10.92904,11.36667,48017473.25,49.5147524064699
"Türkiye",2009-01-01,53730.8,186011.7,241442.4,5869.7,8.366775,13.1,48226832,49.3757976887223
"Türkiye",2009-04-01,58843.1,191643.1,252413.6,339.4,5.696736,13.73333,48437030,49.2978477369869
"Türkiye",2009-07-01,58525.9,193390.2,257864.4,152.8,5.333162,13.06667,48647228,49.2198977852514
"Türkiye",2009-10-01,61625.9,197484.9,261789.9,-1531.7,5.711496,12.23333,48857426,49.1419478335159
"Türkiye",2010-01-01,60193.5,198248.8,262862.1,-5166,9.291019,12.06667,49067624,49.0639978817805
"Türkiye",2010-04-01,66011.6,203971.3,271398.2,-5030,9.218145,11.2,49283675.75,48.960486003669
"Türkiye",2010-07-01,73420.4,216079,279141.9,-12058.9,8.382892,10.86667,49499727.5,48.8569741255575
"Türkiye",2010-10-01,78895,214991,287599,-14776.5,7.429245,10.33333,49715779.25,48.753462247446
"Türkiye",2011-01-01,78740.2,224265.1,295210.2,-17315,4.344287,9.666667,49931831,48.6499503693345
"Türkiye",2011-04-01,86826,231245.7,300922.9,-14791.8,5.888414,9.533334,50128272,48.5435554407008
"Türkiye",2011-07-01,88957.8,231559,309183.8,-5260.3,6.372144,8.8,50324713,48.437160512067
"Türkiye",2011-10-01,89847.2,230828.2,314237.5,-4909.2,9.195024,8.466666,50521154,48.3307655834332
"Türkiye",2012-01-01,86172.2,231272.9,312764.8,-4846.5,10.49108,8.533334,50717595,48.2243706547994
"Türkiye",2012-04-01,87620.6,234709.3,316206.4,2486.4,9.418072,8.266666,50915017.5,48.1279206901857
"Türkiye",2012-07-01,89792.8,239716,321822.5,-1483.6,9.044818,8.233334,51112440,48.031470725572
"Türkiye",2012-10-01,92557.6,238123.3,327430.8,2608.9,6.770432,8.6,51309862.5,47.9350207609583
"Türkiye",2013-01-01,97769.5,248644.5,337791.9,-6296.1,7.207829,8.866667,51507285,47.8385707963446
"Türkiye",2013-04-01,101550.5,250134.3,347613.6,-3048,6.977458,9,51701323.75,47.7844444519589
"Türkiye",2013-07-01,105300.1,258817.2,351305.5,-6185.9,8.309168,9.2,51895362.5,47.7303181075732
"Türkiye",2013-10-01,103836.8,254948.5,352495.1,-7355.3,7.475638,9.133333,52089401.25,47.6761917631875
"Türkiye",2014-01-01,108723.6,256806.3,361389.7,1680.3,8.009679,9.4,52283440,47.6220654188018
"Türkiye",2014-04-01,100585.5,258487,358310.1,2624,9.400366,9.7,52462594.5,47.6120218954707
"Türkiye",2014-07-01,105374.2,265676.1,364568.6,1737.9,9.236269,10.06667,52641749,47.6019783721396
"Türkiye",2014-10-01,108022.2,268141.6,368151.9,-4070.7,8.760275,10.4,52820903.5,47.5919348488085
"Türkiye",2015-01-01,110437.8,271457.1,374241.9,1193.8,7.46675,10.56667,53000058,47.5818913254774
"Türkiye",2015-04-01,115168.6,270411.4,382819.6,5060.4,7.73599,10.3,53199692,47.5265871237938
"Türkiye",2015-07-01,115046.8,271251.3,386123.5,7137.5,7.301009,10.13333,53399326,47.4712829221102
"Türkiye",2015-10-01,118991.4,278511.1,392753.8,479.2,8.163403,10.26667,53598960,47.4159787204266
"Türkiye",2016-01-01,117455.7,281381.5,391863.7,-648.4,8.598533,10.16667,53798594,47.360674518743
"Türkiye",2016-04-01,117560.5,289016.4,397909.8,-2230.1,6.927862,10.36667,53988851.5,47.3209372849921
"Türkiye",2016-07-01,117126.4,281660.2,387011.1,-6466.2,8.036956,11.26667,54179109,47.2812000512412
"Türkiye",2016-10-01,121831.8,294804.9,409265.9,3068.9,7.565904,11.73333,54369366.5,47.2414628174903
"Türkiye",2017-01-01,121384.2,295673.7,412481.9,7626.5,10.21274,11.93333,54559624,47.2017255837394
"Türkiye",2017-04-01,126839.7,300473.9,422521.3,2194.6,11.49598,11.23333,54734094,47.2321339412614
"Türkiye",2017-07-01,131131.8,302404.1,433448.1,-1866.9,10.55504,10.46667,54908564,47.2625422987833
"Türkiye",2017-10-01,129975.9,312375.8,440440.9,-5665,12.26635,10.1,55083034,47.2929506563053
"Türkiye",2018-01-01,134576.7,314883.7,446881.8,-8088.8,10.27945,9.933333,55257504,47.3233590138273
"Türkiye",2018-04-01,137507,315956.7,447690.3,7622.4,12.79448,10.5,55446288.25,47.3500243367692
"Türkiye",2018-07-01,126799.1,310790.8,444555.4,30620.6,19.43866,11.16667,55635072.5,47.3766896597111
"Türkiye",2018-10-01,114589.5,298867.3,431013.4,34336.1,22.36816,12.16667,55823856.75,47.403354982653
"Türkiye",2019-01-01,115235.6,311146,439788.3,31410.9,19.91104,13.76667,56012641,47.4300203055949
"Türkiye",2019-04-01,110633.5,318912.8,449404,29736.8,17.95033,13.73333,56132544,47.4734545491416
"Türkiye",2019-07-01,109594.9,317991,449514.9,32016,13.52613,14.03333,56252447,47.5168887926881
"Türkiye",2019-10-01,115876.2,318374.1,456539,12078.3,10.30631,13.4,56372350,47.5603230362347
"Türkiye",2020-01-01,113385.7,321816.9,458149.9,12793.8,12.12581,12.86667,56492253,47.6037572797814
"Türkiye",2020-04-01,106294.6,296922.1,410591.3,-5790.8,11.65203,13.6,56625660,47.5927899008219
"Türkiye",2020-07-01,133925.5,345232.4,474951.9,-13254.5,11.76091,13.2,56759067,47.5818225218624
"Türkiye",2020-10-01,128975.1,342951.4,480977.4,10394.4,13.50983,12.9,56892474,47.570855142903
"Türkiye",2021-01-01,127410.6,349108.6,493870.5,14988.8,15.59347,12.8,57025881,47.5598877639435
"Türkiye",2021-04-01,128685.1,360962.4,501784.8,22645.9,17.08753,12.56667,57213406.5,47.4412153264209
"Türkiye",2021-07-01,131182.8,373645,519397.6,20643.8,19.26423,11.63333,57400932,47.3225428888982
"Türkiye",2021-10-01,130130.9,401297.5,528927,34298.3,25.84839,11.06667,57588457.5,47.2038704513756
"Türkiye",2022-01-01,134692.4,407296.9,527370,31466.9,54.79904,11,57775983,47.0851980138529
"Türkiye",2022-04-01,136267.6,406498.2,536231.2,39339,74.06995,10.6,57885826.25,46.9562781430076
"Türkiye",2022-07-01,132952.4,429936.5,541068.5,24941,81.10273,10.03333,57995669.5,46.8273582721623
