country,quarter,gross_fixed_capital_formation,final_consumption_expenditure,gross_domestic_product,external_balance_of_goods_and_services,inflation,unemployment
United States,1/1/2020,1119485,4204315.5,5177303,-136197,2.118652,3.833333
United States,4/1/2020,1048937,3923450.3,4769498,-137362.3,0.3642956,13
United States,7/1/2020,1104253.3,4187871,5139719.8,-180454.8,1.222386,8.8
United States,10/1/2020,1142084.3,4233073.5,5197979.3,-201772.5,1.239488,6.766667
United States,1/1/2021,1157533.3,4329361.5,5270533.5,-214930.3,1.898514,6.233333
United States,4/1/2021,1168487.8,4445562.3,5360232.3,-226064.3,4.848945,5.933333
United States,7/1/2021,1164156.5,4470204,5404457,-239219,5.335693,5.066667
United States,10/1/2021,1170716.3,4506464.8,5497184.3,-246157.8,6.689106,4.2
United States,1/1/2022,1187027,4502465,5483177.5,-276710,7.966707,3.833333
United States,4/1/2022,1191300.3,4530204.3,5491761.3,-273261,8.635612,3.633333
United States,7/1/2022,1185078,4552525.3,5531406.3,-238272.8,8.329475,3.533333
United States,10/1/2022,1186917.5,4566602,5569586.3,-236129.3,7.101672,3.566667
United States,1/1/2023,1200727.5,4616473.5,5609901.8,-228047.8,5.80477,3.533333
United States,4/1/2023,1229221.5,4633323,5645124.8,-232028.3,3.974292,3.533333
United States,7/1/2023,1241477.8,4672399.8,5710247.3,-231542.3,3.51429,3.666667
United States,10/1/2023,1258975,4707240.3,5758445,-233537,3.243401,3.8
United States,1/1/2024,1266852,4729663.3,5770529.8,-241035,3.241019,3.833333
United States,1/1/1972,238517,1207197,1408162.3,-21744.8,3.42523,5.766667
United States,4/1/1972,241354.8,1225631,1440117.5,-20642.8,3.140496,5.7
United States,7/1/1972,240893.8,1236403.8,1453713.5,-19083.5,3.025347,5.566667
United States,10/1/1972,251181,1258822.5,1478055,-20090.5,3.49878,5.366667
United States,1/1/1973,261521,1276501.5,1514636,-19518.8,4.038772,4.933333
United States,4/1/1973,261729.8,1275757.3,1531126.5,-14355,5.528846,4.933333
United States,7/1/1973,259512.8,1277496.5,1523075.3,-12017,6.825397,4.8
United States,10/1/1973,257968,1276872.3,1537532.8,-9484,8.254717,4.766667
United States,1/1/1974,255671,1271714,1524314.5,-6070.5,9.937888,5.133333
United States,4/1/1974,254765.5,1274738.5,1527937.8,-6673.8,10.55429,5.2
United States,7/1/1974,250409.5,1281290,1513494.5,-9107.3,11.44131,5.633333
United States,10/1/1974,239263,1269504.8,1507616,-6629,12.20044,6.6
United States,1/1/1975,230174.8,1279808.5,1489258.8,1332.5,11.08757,8.266666
United States,4/1/1975,224936.3,1297765.5,1499902.5,4709.8,9.684066,8.866667
United States,7/1/1975,233113.8,1313109.5,1525581.5,-1545.3,8.733334,8.466666
United States,10/1/1975,238875.8,1324093.5,1546132.5,-1416.8,7.249191,8.3
United States,1/1/1976,247519,1343406.8,1580912.3,-6302,6.357279,7.733333
United States,4/1/1976,247569.5,1353310.3,1592506.3,-8855,6.073889,7.566667
United States,7/1/1976,249192.5,1364166.3,1601223.8,-10040.5,5.518087,7.733333
United States,10/1/1976,257286,1379446,1612794.3,-12030,5.069403,7.766667
United States,1/1/1977,265516.8,1393607,1631925.8,-17121,5.85774,7.5
United States,4/1/1977,277502,1401478,1663616.5,-16045.8,6.847698,7.133333
United States,7/1/1977,279485,1414700.3,1693614.3,-14256,6.682161,6.9
United States,10/1/1977,282513.8,1431803.8,1693648,-17852,6.605399,6.666667
United States,1/1/1978,283898.3,1439270.5,1699065,-22127.8,6.606437,6.333333
United States,4/1/1978,305061.3,1465135.3,1764730,-14849,6.961326,6
United States,7/1/1978,313372.3,1471199.3,1782478.8,-15208,7.95207,6.033333
United States,10/1/1978,320405,1481945,1806437.5,-13311,8.943966,5.9
United States,1/1/1979,319290.5,1489218.5,1809681.8,-12981.5,9.745763,5.866667
United States,4/1/1979,320244.5,1488555,1811613.5,-13288.8,10.7438,5.7
United States,7/1/1979,327648.8,1496993.8,1825070.3,-8749.8,11.7558,5.866667
United States,10/1/1979,325235.8,1502523.8,1829633.8,-5337.3,12.66073,5.966667
United States,1/1/1980,323905.8,1503501.3,1835389.3,-2803.8,14.28571,6.3
United States,4/1/1980,300343.8,1480773,1797572.3,6159.8,14.5056,7.333333
United States,7/1/1980,301609,1490510.5,1795435.8,12530.3,12.86682,7.666667
United States,10/1/1980,311084,1505819.3,1828919.3,7391.5,12.64267,7.4
